method,n,seed,total_time_ns,outcome,peak_mem_mb
ConsistXApp expl,500,48,3365241100,local_repair,0.0
CP-SAT,500,49,52254200,full_repair,0.0
GAC + CP-SAT,500,49,54837700,full_repair,0.0
GAC + expl repair,500,49,42037500,local_repair,0.0
ConsistXApp expl,500,49,2904358600,local_repair,0.0
CP-SAT,500,50,49478000,full_repair,0.0
GAC + CP-SAT,500,50,53208800,full_repair,0.0
GAC + expl repair,500,50,61402200,local_repair,0.0
ConsistXApp expl,500,50,2986489700,local_repair,0.0
CP-SAT,500,51,50620500,full_repair,0.0
GAC + CP-SAT,500,51,53968600,full_repair,0.0
GAC + expl repair,500,51,68776600,local_repair,0.0
ConsistXApp expl,500,51,2952376600,local_repair,0.0
