method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,build_ms,solve_ms,verified
incr_repair,600,0.02,44,17,37,7,12.979,0.0,0.0,True
cpsat_rebuild,600,0.02,44,18,35,-1,15.899,4.254,11.637,True
cpsat_hint,600,0.02,44,18,35,-1,16.909,5.559,11.342,True
incr_repair,600,0.02,44,18,35,3,22.788,0.0,0.0,True
cpsat_rebuild,600,0.02,44,19,37,-1,16.42,4.111,12.301,True
cpsat_hint,600,0.02,44,19,37,-1,17.452,5.275,12.168,True
incr_repair,600,0.02,44,19,37,2,2.472,0.0,0.0,True
cpsat_rebuild,600,0.02,44,20,39,-1,19.032,4.836,14.185,True
cpsat_hint,600,0.02,44,20,39,-1,20.215,5.467,14.739,True
incr_repair,600,0.02,44,20,39,7,9.746,0.0,0.0,True
cpsat_rebuild,600,0.02,44,21,44,-1,19.526,4.366,15.149,True
cpsat_hint,600,0.02,44,21,44,-1,19.858,5.593,14.253,True
incr_repair,600,0.02,44,21,44,7,7.364,0.0,0.0,True
cpsat_rebuild,600,0.02,44,22,39,-1,17.416,4.33,13.075,True
cpsat_hint,600,0.02,44,22,39,-1,18.306,5.313,12.985,True
incr_repair,600,0.02,44,22,39,7,6.38,0.0,0.0,True
cpsat_rebuild,600,0.02,44,23,40,-1,17.012,4.284,12.719,True
cpsat_hint,600,0.02,44,23,40,-1,17.792,5.401,12.382,True
incr_repair,600,0.02,44,23,40,5,7.393,0.0,0.0,True
cpsat_rebuild,600,0.02,44,24,47,-1,17.514,4.098,13.408,True
cpsat_hint,600,0.02,44,24,47,-1,18.223,5.297,12.918,True
incr_repair,600,0.02,44,24,47,4,8.612,0.0,0.0,True
cpsat_rebuild,600,0.02,44,25,39,-1,15.553,4.159,11.386,True
cpsat_hint,600,0.02,44,25,39,-1,16.101,5.269,10.824,True
incr_repair,600,0.02,44,25,39,6,3.531,0.0,0.0,True
cpsat_rebuild,600,0.02,44,26,39,-1,15.517,4.144,11.364,True
cpsat_hint,600,0.02,44,26,39,-1,26.276,14.849,11.416,True
incr_repair,600,0.02,44,26,39,5,4.012,0.0,0.0,True
cpsat_rebuild,600,0.02,44,27,31,-1,15.4,4.156,11.236,True
cpsat_hint,600,0.02,44,27,31,-1,16.159,5.188,10.964,True
incr_repair,600,0.02,44,27,31,4,3.626,0.0,0.0,True
cpsat_rebuild,600,0.02,44,28,36,-1,15.888,4.465,11.413,True
cpsat_hint,600,0.02,44,28,36,-1,16.904,5.655,11.239,True
incr_repair,600,0.02,44,28,36,8,29.03,0.0,0.0,True
cpsat_rebuild,600,0.02,44,29,36,-1,15.442,4.05,11.382,True
cpsat_hint,600,0.02,44,29,36,-1,16.427,5.351,11.066,True
incr_repair,600,0.02,44,29,36,4,4.475,0.0,0.0,True
cpsat_rebuild,600,0.02,44,30,35,-1,15.239,4.188,11.042,True
cpsat_hint,600,0.02,44,30,35,-1,15.997,5.405,10.583,True
incr_repair,600,0.02,44,30,35,5,2.977,0.0,0.0,True
cpsat_rebuild,600,0.02,45,1,40,-1,20.17,4.611,15.548,True
cpsat_hint,600,0.02,45,1,40,-1,20.352,5.444,14.898,True
incr_repair,600,0.02,45,1,40,8,5.656,0.0,0.0,True
cpsat_rebuild,600,0.02,45,2,33,-1,19.671,4.496,15.164,True
cpsat_hint,600,0.02,45,2,33,-1,20.151,5.446,14.696,True
incr_repair,600,0.02,45,2,33,2,11.957,0.0,0.0,True
cpsat_rebuild,600,0.02,45,3,39,-1,19.273,4.238,15.027,True
cpsat_hint,600,0.02,45,3,39,-1,20.101,5.431,14.66,True
incr_repair,600,0.02,45,3,39,3,2.956,0.0,0.0,True
cpsat_rebuild,600,0.02,45,4,41,-1,20.351,4.342,16.0,True
cpsat_hint,600,0.02,45,4,41,-1,20.072,5.754,14.308,True
incr_repair,600,0.02,45,4,41,10,5.137,0.0,0.0,True
cpsat_rebuild,600,0.02,45,5,41,-1,19.309,4.468,14.831,True
cpsat_hint,600,0.02,45,5,41,-1,19.478,5.432,14.036,True
incr_repair,600,0.02,45,5,41,2,3.037,0.0,0.0,True
cpsat_rebuild,600,0.02,45,6,37,-1,18.142,4.483,13.649,True
cpsat_hint,600,0.02,45,6,37,-1,19.164,5.697,13.457,True
incr_repair,600,0.02,45,6,37,8,13.536,0.0,0.0,True
cpsat_rebuild,600,0.02,45,7,34,-1,18.213,4.385,13.816,True
cpsat_hint,600,0.02,45,7,34,-1,18.786,5.449,13.327,True
incr_repair,600,0.02,45,7,34,4,2.63,0.0,0.0,True
cpsat_rebuild,600,0.02,45,8,43,-1,18.127,4.337,13.782,True
cpsat_hint,600,0.02,45,8,43,-1,19.798,6.059,13.728,True
incr_repair,600,0.02,45,8,43,6,10.353,0.0,0.0,True
cpsat_rebuild,600,0.02,45,9,32,-1,17.956,4.299,13.649,True
cpsat_hint,600,0.02,45,9,32,-1,20.666,6.934,13.724,True
incr_repair,600,0.02,45,9,32,2,9.122,0.0,0.0,True
cpsat_rebuild,600,0.02,45,10,43,-1,18.55,4.233,14.308,True
cpsat_hint,600,0.02,45,10,43,-1,19.43,5.257,14.165,True
incr_repair,600,0.02,45,10,43,4,2.822,0.0,0.0,True
cpsat_rebuild,600,0.02,45,11,38,-1,18.58,4.245,14.327,True
cpsat_hint,600,0.02,45,11,38,-1,19.37,5.661,13.701,True
incr_repair,600,0.02,45,11,38,3,4.521,0.0,0.0,True
cpsat_rebuild,600,0.02,45,12,36,-1,18.615,4.251,14.355,True
cpsat_hint,600,0.02,45,12,36,-1,19.183,5.382,13.793,True
incr_repair,600,0.02,45,12,36,3,2.359,0.0,0.0,True
cpsat_rebuild,600,0.02,45,13,32,-1,18.437,4.571,13.855,True
cpsat_hint,600,0.02,45,13,32,-1,21.651,8.026,13.608,True
incr_repair,600,0.02,45,13,32,7,4.771,0.0,0.0,True
cpsat_rebuild,600,0.02,45,14,42,-1,18.007,4.363,13.63,True
cpsat_hint,600,0.02,45,14,42,-1,21.729,5.838,15.874,True
incr_repair,600,0.02,45,14,42,4,3.284,0.0,0.0,True
cpsat_rebuild,600,0.02,45,15,35,-1,17.204,4.352,12.845,True
cpsat_hint,600,0.02,45,15,35,-1,18.244,5.768,12.467,True
incr_repair,600,0.02,45,15,35,8,19.729,0.0,0.0,True
cpsat_rebuild,600,0.02,45,16,36,-1,17.053,4.295,12.749,True
cpsat_hint,600,0.02,45,16,36,-1,17.792,5.294,12.49,True
incr_repair,600,0.02,45,16,36,6,3.178,0.0,0.0,True
cpsat_rebuild,600,0.02,45,17,41,-1,17.496,4.206,13.281,True
cpsat_hint,600,0.02,45,17,41,-1,19.521,6.859,12.648,True
incr_repair,600,0.02,45,17,41,5,3.034,0.0,0.0,True
cpsat_rebuild,600,0.02,45,18,41,-1,16.41,4.166,12.236,True
cpsat_hint,600,0.02,45,18,41,-1,17.226,5.233,11.986,True
incr_repair,600,0.02,45,18,41,8,57.635,0.0,0.0,True
cpsat_rebuild,600,0.02,45,19,36,-1,17.185,4.515,12.659,True
cpsat_hint,600,0.02,45,19,36,-1,17.564,5.455,12.101,True
incr_repair,600,0.02,45,19,36,5,39.313,0.0,0.0,True
cpsat_rebuild,600,0.02,45,20,36,-1,16.63,4.173,12.447,True
