method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,verified
cpsat_hint,100,0.02,44,24,4,-1,2.541,True
incr_repair,100,0.02,44,24,4,0,0.052,True
cpsat_rebuild,100,0.02,44,25,4,-1,2.374,True
cpsat_hint,100,0.02,44,25,4,-1,2.542,True
incr_repair,100,0.02,44,25,4,0,0.053,True
cpsat_rebuild,100,0.02,44,26,4,-1,2.403,True
cpsat_hint,100,0.02,44,26,4,-1,5.5,True
incr_repair,100,0.02,44,26,4,1,0.781,True
cpsat_rebuild,100,0.02,44,27,4,-1,2.547,True
cpsat_hint,100,0.02,44,27,4,-1,2.648,True
incr_repair,100,0.02,44,27,4,0,0.053,True
cpsat_rebuild,100,0.02,44,28,4,-1,2.544,True
cpsat_hint,100,0.02,44,28,4,-1,2.679,True
incr_repair,100,0.02,44,28,4,1,1.236,True
cpsat_rebuild,100,0.02,44,29,4,-1,2.681,True
cpsat_hint,100,0.02,44,29,4,-1,2.742,True
incr_repair,100,0.02,44,29,4,0,0.052,True
cpsat_rebuild,100,0.02,44,30,4,-1,2.501,True
cpsat_hint,100,0.02,44,30,4,-1,2.661,True
incr_repair,100,0.02,44,30,4,0,0.052,True
cpsat_rebuild,300,0.02,42,1,12,-1,11.981,True
cpsat_hint,300,0.02,42,1,12,-1,12.637,True
incr_repair,300,0.02,42,1,12,3,1.577,True
cpsat_rebuild,300,0.02,42,2,12,-1,11.881,True
cpsat_hint,300,0.02,42,2,12,-1,9.298,True
incr_repair,300,0.02,42,2,12,0,0.16,True
cpsat_rebuild,300,0.02,42,3,12,-1,11.448,True
cpsat_hint,300,0.02,42,3,12,-1,10.954,True
incr_repair,300,0.02,42,3,12,3,1.832,True
cpsat_rebuild,300,0.02,42,4,12,-1,11.304,True
cpsat_hint,300,0.02,42,4,12,-1,9.015,True
incr_repair,300,0.02,42,4,12,2,1.409,True
cpsat_rebuild,300,0.02,42,5,12,-1,11.106,True
cpsat_hint,300,0.02,42,5,12,-1,10.818,True
incr_repair,300,0.02,42,5,12,3,7.294,True
cpsat_rebuild,300,0.02,42,6,12,-1,7.609,True
cpsat_hint,300,0.02,42,6,12,-1,7.961,True
incr_repair,300,0.02,42,6,12,1,1.814,True
cpsat_rebuild,300,0.02,42,7,12,-1,6.954,True
cpsat_hint,300,0.02,42,7,12,-1,7.524,True
incr_repair,300,0.02,42,7,12,1,1.141,True
cpsat_rebuild,300,0.02,42,8,12,-1,7.163,True
cpsat_hint,300,0.02,42,8,12,-1,7.679,True
incr_repair,300,0.02,42,8,12,3,1.527,True
cpsat_rebuild,300,0.02,42,9,12,-1,7.18,True
cpsat_hint,300,0.02,42,9,12,-1,7.529,True
incr_repair,300,0.02,42,9,12,3,2.009,True
cpsat_rebuild,300,0.02,42,10,12,-1,6.954,True
cpsat_hint,300,0.02,42,10,12,-1,7.254,True
incr_repair,300,0.02,42,10,12,4,3.259,True
cpsat_rebuild,300,0.02,42,11,12,-1,7.869,True
cpsat_hint,300,0.02,42,11,12,-1,11.384,True
incr_repair,300,0.02,42,11,12,0,0.158,True
cpsat_rebuild,300,0.02,42,12,12,-1,6.684,True
cpsat_hint,300,0.02,42,12,12,-1,9.994,True
incr_repair,300,0.02,42,12,12,2,2.85,True
