method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,verified
cpsat_rebuild,100,0.1,44,21,20,-1,1.627,True
cpsat_hint,100,0.1,44,21,20,-1,1.806,True
incr_repair,100,0.1,44,21,20,0,0.052,True
cpsat_rebuild,100,0.1,44,22,20,-1,1.631,True
cpsat_hint,100,0.1,44,22,20,-1,1.82,True
incr_repair,100,0.1,44,22,20,0,0.051,True
cpsat_rebuild,100,0.1,44,23,20,-1,1.658,True
cpsat_hint,100,0.1,44,23,20,-1,1.837,True
incr_repair,100,0.1,44,23,20,0,0.053,True
cpsat_rebuild,100,0.1,44,24,20,-1,1.751,True
cpsat_hint,100,0.1,44,24,20,-1,2.03,True
incr_repair,100,0.1,44,24,20,0,0.058,True
cpsat_rebuild,100,0.1,44,25,20,-1,1.731,True
cpsat_hint,100,0.1,44,25,20,-1,1.866,True
incr_repair,100,0.1,44,25,20,0,0.051,True
cpsat_rebuild,100,0.1,44,26,20,-1,1.668,True
cpsat_hint,100,0.1,44,26,20,-1,1.856,True
incr_repair,100,0.1,44,26,20,0,0.053,True
cpsat_rebuild,100,0.1,44,27,20,-1,1.685,True
cpsat_hint,100,0.1,44,27,20,-1,1.857,True
incr_repair,100,0.1,44,27,20,0,0.053,True
cpsat_rebuild,100,0.1,44,28,20,-1,1.735,True
cpsat_hint,100,0.1,44,28,20,-1,2.544,True
incr_repair,100,0.1,44,28,20,0,0.056,True
cpsat_rebuild,100,0.1,44,29,20,-1,1.744,True
cpsat_hint,100,0.1,44,29,20,-1,1.875,True
incr_repair,100,0.1,44,29,20,0,0.054,True
cpsat_rebuild,100,0.1,44,30,20,-1,1.607,True
cpsat_hint,100,0.1,44,30,20,-1,1.786,True
incr_repair,100,0.1,44,30,20,0,0.067,True
cpsat_rebuild,300,0.1,42,1,60,-1,8.361,True
cpsat_hint,300,0.1,42,1,60,-1,8.855,True
incr_repair,300,0.1,42,1,60,13,12.098,True
cpsat_rebuild,300,0.1,42,2,60,-1,6.854,True
cpsat_hint,300,0.1,42,2,60,-1,7.538,True
incr_repair,300,0.1,42,2,60,9,10.686,True
cpsat_rebuild,300,0.1,42,3,60,-1,8.442,True
cpsat_hint,300,0.1,42,3,60,-1,7.284,True
incr_repair,300,0.1,42,3,60,9,2.104,True
cpsat_rebuild,300,0.1,42,4,60,-1,6.363,True
cpsat_hint,300,0.1,42,4,60,-1,6.712,True
incr_repair,300,0.1,42,4,60,8,2.319,True
cpsat_rebuild,300,0.1,42,5,60,-1,6.522,True
cpsat_hint,300,0.1,42,5,60,-1,7.168,True
incr_repair,300,0.1,42,5,60,5,1.611,True
cpsat_rebuild,300,0.1,42,6,60,-1,6.038,True
cpsat_hint,300,0.1,42,6,60,-1,6.688,True
incr_repair,300,0.1,42,6,60,5,1.78,True
cpsat_rebuild,300,0.1,42,7,60,-1,5.249,True
cpsat_hint,300,0.1,42,7,60,-1,5.749,True
incr_repair,300,0.1,42,7,60,2,1.435,True
cpsat_rebuild,300,0.1,42,8,60,-1,5.322,True
cpsat_hint,300,0.1,42,8,60,-1,5.857,True
incr_repair,300,0.1,42,8,60,1,2.625,True
cpsat_rebuild,300,0.1,42,9,60,-1,5.86,True
cpsat_hint,300,0.1,42,9,60,-1,6.211,True
incr_repair,300,0.1,42,9,60,4,2.714,True
cpsat_rebuild,300,0.1,42,10,60,-1,6.99,True
cpsat_hint,300,0.1,42,10,60,-1,5.607,True
incr_repair,300,0.1,42,10,60,4,2.415,True
cpsat_rebuild,300,0.1,42,11,60,-1,4.943,True
cpsat_hint,300,0.1,42,11,60,-1,5.561,True
incr_repair,300,0.1,42,11,60,5,2.191,True
cpsat_rebuild,300,0.1,42,12,60,-1,5.064,True
cpsat_hint,300,0.1,42,12,60,-1,6.99,True
incr_repair,300,0.1,42,12,60,1,1.367,True
cpsat_rebuild,300,0.1,42,13,60,-1,4.978,True
cpsat_hint,300,0.1,42,13,60,-1,5.854,True
incr_repair,300,0.1,42,13,60,1,1.231,True
cpsat_rebuild,300,0.1,42,14,60,-1,4.987,True
cpsat_hint,300,0.1,42,14,60,-1,5.439,True
incr_repair,300,0.1,42,14,60,1,1.311,True
cpsat_rebuild,300,0.1,42,15,60,-1,5.181,True
cpsat_hint,300,0.1,42,15,60,-1,5.34,True
incr_repair,300,0.1,42,15,60,3,1.41,True
cpsat_rebuild,300,0.1,42,16,60,-1,4.944,True
cpsat_hint,300,0.1,42,16,60,-1,5.586,True
incr_repair,300,0.1,42,16,60,0,0.154,True
cpsat_rebuild,300,0.1,42,17,60,-1,5.257,True
cpsat_hint,300,0.1,42,17,60,-1,6.122,True
incr_repair,300,0.1,42,17,60,0,0.166,True
cpsat_rebuild,300,0.1,42,18,60,-1,5.074,True
cpsat_hint,300,0.1,42,18,60,-1,5.63,True
incr_repair,300,0.1,42,18,60,0,0.168,True
cpsat_rebuild,300,0.1,42,19,60,-1,4.72,True
cpsat_hint,300,0.1,42,19,60,-1,6.238,True
incr_repair,300,0.1,42,19,60,1,1.351,True
cpsat_rebuild,300,0.1,42,20,60,-1,4.457,True
cpsat_hint,300,0.1,42,20,60,-1,4.978,True
incr_repair,300,0.1,42,20,60,2,1.415,True
cpsat_rebuild,300,0.1,42,21,60,-1,4.328,True
cpsat_hint,300,0.1,42,21,60,-1,5.099,True
incr_repair,300,0.1,42,21,60,1,1.213,True
cpsat_rebuild,300,0.1,42,22,60,-1,4.361,True
cpsat_hint,300,0.1,42,22,60,-1,4.983,True
incr_repair,300,0.1,42,22,60,0,0.154,True
cpsat_rebuild,300,0.1,42,23,60,-1,4.483,True
cpsat_hint,300,0.1,42,23,60,-1,5.09,True
incr_repair,300,0.1,42,23,60,2,1.343,True
cpsat_rebuild,300,0.1,42,24,60,-1,4.582,True
cpsat_hint,300,0.1,42,24,60,-1,5.274,True
incr_repair,300,0.1,42,24,60,1,1.276,True
cpsat_rebuild,300,0.1,42,25,60,-1,4.335,True
cpsat_hint,300,0.1,42,25,60,-1,4.913,True
incr_repair,300,0.1,42,25,60,1,1.445,True
cpsat_rebuild,300,0.1,42,26,60,-1,4.57,True
cpsat_hint,300,0.1,42,26,60,-1,4.877,True
incr_repair,300,0.1,42,26,60,0,0.184,True
cpsat_rebuild,300,0.1,42,27,60,-1,4.311,True
cpsat_hint,300,0.1,42,27,60,-1,5.227,True
incr_repair,300,0.1,42,27,60,0,0.166,True
cpsat_rebuild,300,0.1,42,28,60,-1,4.236,True
cpsat_hint,300,0.1,42,28,60,-1,4.829,True
incr_repair,300,0.1,42,28,60,0,0.162,True
cpsat_rebuild,300,0.1,42,29,60,-1,4.196,True
cpsat_hint,300,0.1,42,29,60,-1,4.687,True
incr_repair,300,0.1,42,29,60,0,0.174,True
cpsat_rebuild,300,0.1,42,30,60,-1,4.064,True
cpsat_hint,300,0.1,42,30,60,-1,4.7,True
incr_repair,300,0.1,42,30,60,1,1.263,True
cpsat_rebuild,300,0.1,43,1,60,-1,8.717,True
