suite,instance,seed,num_variables,domain_size,density,strategy,success,status,initial_core_size,final_core_size,expansions,total_time_ns,full_scope_required
structural,d2_c72,49,24,2,3.0,radius1,True,optimal,23,23,0,1543700,False
structural,d2_c72,49,24,2,3.0,explanation,True,optimal,9,9,0,1254100,False
structural,d2_c72,49,24,2,3.0,fullscope,True,optimal,24,24,0,1453900,True
structural,d2_c72,50,24,2,3.0,radius1,True,optimal,21,21,0,1517400,False
structural,d2_c72,50,24,2,3.0,explanation,True,optimal,6,6,0,1185000,False
structural,d2_c72,50,24,2,3.0,fullscope,True,optimal,24,24,0,1517600,True
structural,d2_c72,51,24,2,3.0,radius1,True,optimal,23,23,0,1535800,False
structural,d2_c72,51,24,2,3.0,explanation,True,optimal,12,12,0,1345000,False
structural,d2_c72,51,24,2,3.0,fullscope,True,optimal,24,24,0,1450800,True
structural,d4_c24,42,24,4,1.0,radius1,True,optimal,13,13,0,1009000,False
structural,d4_c24,42,24,4,1.0,explanation,True,optimal,6,6,0,728900,False
structural,d4_c24,42,24,4,1.0,fullscope,True,optimal,24,24,0,4283100,True
structural,d4_c24,43,24,4,1.0,radius1,True,optimal,10,10,0,1314600,False
structural,d4_c24,43,24,4,1.0,explanation,True,optimal,6,6,0,668800,False
structural,d4_c24,43,24,4,1.0,fullscope,True,optimal,24,24,0,3903200,True
structural,d4_c24,44,24,4,1.0,radius1,True,optimal,15,15,0,1149700,False
structural,d4_c24,44,24,4,1.0,explanation,True,optimal,9,9,0,788900,False
structural,d4_c24,44,24,4,1.0,fullscope,True,optimal,24,24,0,4030900,True
structural,d4_c24,45,24,4,1.0,radius1,True,optimal,13,13,0,1123800,False
structural,d4_c24,45,24,4,1.0,explanation,True,optimal,9,9,0,709800,False
structural,d4_c24,45,24,4,1.0,fullscope,True,optimal,24,24,0,3878100,True
structural,d4_c24,46,24,4,1.0,radius1,True,optimal,4,4,0,468900,False
structural,d4_c24,46,24,4,1.0,explanation,True,optimal,2,2,0,356800,False
structural,d4_c24,46,24,4,1.0,fullscope,True,optimal,24,24,0,4407200,True
structural,d4_c24,47,24,4,1.0,radius1,True,optimal,10,10,0,980500,False
structural,d4_c24,47,24,4,1.0,explanation,True,optimal,6,6,0,626000,False
structural,d4_c24,47,24,4,1.0,fullscope,True,optimal,24,24,0,4640100,True
structural,d4_c24,48,24,4,1.0,radius1,True,optimal,13,13,0,1875900,False
structural,d4_c24,48,24,4,1.0,explanation,True,optimal,7,7,0,787900,False
structural,d4_c24,48,24,4,1.0,fullscope,True,optimal,24,24,0,3951100,True
structural,d4_c24,49,24,4,1.0,radius1,True,optimal,11,11,0,827300,False
structural,d4_c24,49,24,4,1.0,explanation,True,optimal,7,7,0,660600,False
