method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,build_ms,solve_ms,verified
cpsat_rebuild,100,0.02,44,7,4,-1,3.308,0.845,2.458,True
cpsat_hint,100,0.02,44,7,4,-1,3.352,0.959,2.388,True
incr_repair,100,0.02,44,7,4,0,0.061,0.0,0.0,True
cpsat_rebuild,100,0.02,44,8,4,-1,3.256,0.839,2.412,True
cpsat_hint,100,0.02,44,8,4,-1,3.36,1.024,2.329,True
incr_repair,100,0.02,44,8,4,0,0.054,0.0,0.0,True
cpsat_rebuild,100,0.02,44,9,4,-1,3.24,0.865,2.369,True
cpsat_hint,100,0.02,44,9,4,-1,3.267,0.976,2.286,True
incr_repair,100,0.02,44,9,4,1,0.737,0.0,0.0,True
cpsat_rebuild,100,0.02,44,10,4,-1,3.18,0.806,2.369,True
cpsat_hint,100,0.02,44,10,4,-1,3.4,1.093,2.301,True
incr_repair,100,0.02,44,10,4,1,0.807,0.0,0.0,True
cpsat_rebuild,100,0.02,44,11,4,-1,3.103,0.821,2.277,True
cpsat_hint,100,0.02,44,11,4,-1,3.149,0.954,2.19,True
incr_repair,100,0.02,44,11,4,1,0.982,0.0,0.0,True
cpsat_rebuild,100,0.02,44,12,4,-1,2.999,0.769,2.225,True
cpsat_hint,100,0.02,44,12,4,-1,3.156,0.993,2.158,True
incr_repair,100,0.02,44,12,4,0,0.052,0.0,0.0,True
cpsat_rebuild,100,0.02,44,13,4,-1,3.039,0.827,2.206,True
cpsat_hint,100,0.02,44,13,4,-1,3.1,0.98,2.115,True
incr_repair,100,0.02,44,13,4,0,0.052,0.0,0.0,True
cpsat_rebuild,100,0.02,44,14,4,-1,3.103,0.803,2.293,True
cpsat_hint,100,0.02,44,14,4,-1,3.167,0.997,2.164,True
incr_repair,100,0.02,44,14,4,1,0.781,0.0,0.0,True
cpsat_rebuild,100,0.02,44,15,4,-1,3.076,0.827,2.244,True
cpsat_hint,100,0.02,44,15,4,-1,3.144,0.995,2.143,True
incr_repair,100,0.02,44,15,4,1,0.692,0.0,0.0,True
cpsat_rebuild,100,0.02,44,16,4,-1,2.82,0.781,2.034,True
cpsat_hint,100,0.02,44,16,4,-1,2.92,0.98,1.934,True
incr_repair,100,0.02,44,16,4,0,0.052,0.0,0.0,True
cpsat_rebuild,100,0.02,44,17,4,-1,2.847,0.759,2.084,True
cpsat_hint,100,0.02,44,17,4,-1,3.244,1.047,2.192,True
incr_repair,100,0.02,44,17,4,0,0.053,0.0,0.0,True
cpsat_rebuild,100,0.02,44,18,4,-1,2.836,0.797,2.034,True
