method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,verified
cpsat_hint,1000,0.1,43,27,200,-1,16.851,True
incr_repair,1000,0.1,43,27,200,1,3.743,True
cpsat_rebuild,1000,0.1,43,28,200,-1,14.695,True
cpsat_hint,1000,0.1,43,28,200,-1,16.929,True
incr_repair,1000,0.1,43,28,200,1,3.83,True
cpsat_rebuild,1000,0.1,43,29,200,-1,16.175,True
cpsat_hint,1000,0.1,43,29,200,-1,18.194,True
incr_repair,1000,0.1,43,29,200,2,3.75,True
cpsat_rebuild,1000,0.1,43,30,200,-1,16.075,True
cpsat_hint,1000,0.1,43,30,200,-1,17.878,True
incr_repair,1000,0.1,43,30,200,2,3.946,True
