mu,scenario,episode,epoch,executed,churn,throughput,feasible
0.0,S1,3,95,True,0,13.8314,True
0.0,S1,3,96,True,0,14.4089,True
0.0,S1,3,97,True,0,16.4495,True
0.0,S1,3,98,True,0,17.6437,True
0.0,S1,3,99,True,0,19.6402,True
0.0,S1,4,0,True,0,15.2862,True
0.0,S1,4,1,True,2,12.3042,True
0.0,S1,4,2,True,4,12.945,True
0.0,S1,4,3,True,0,10.1943,True
0.0,S1,4,4,True,0,8.8245,True
0.0,S1,4,5,True,2,18.8504,True
0.0,S1,4,6,True,0,12.8772,True
0.0,S1,4,7,True,0,12.7422,True
0.0,S1,4,8,True,0,10.913,True
0.0,S1,4,9,True,0,12.2303,True
0.0,S1,4,10,True,2,10.5594,True
0.0,S1,4,11,True,0,10.51,True
0.0,S1,4,12,True,0,12.509,True
0.0,S1,4,13,True,0,15.6563,True
0.0,S1,4,14,True,0,12.1659,True
0.0,S1,4,15,True,0,9.3558,True
0.0,S1,4,16,True,0,12.0281,True
0.0,S1,4,17,True,0,15.2865,True
0.0,S1,4,18,True,0,14.7842,True
0.0,S1,4,19,True,0,6.1426,True
0.0,S1,4,20,True,0,9.7104,True
0.0,S1,4,21,True,0,11.864,True
0.0,S1,4,22,True,0,12.0005,True
0.0,S1,4,23,True,1,12.872,True
0.0,S1,4,24,True,0,8.976,True
0.0,S1,4,25,True,0,9.8571,True
0.0,S1,4,26,True,0,8.7635,True
0.0,S1,4,27,True,0,8.8132,True
0.0,S1,4,28,True,0,10.8776,True
0.0,S1,4,29,True,0,17.1108,True
0.0,S1,4,30,True,1,12.8002,True
0.0,S1,4,31,True,0,14.2493,True
0.0,S1,4,32,True,0,11.2661,True
0.0,S1,4,33,True,0,10.2443,True
0.0,S1,4,34,True,0,11.0741,True
0.0,S1,4,35,True,0,12.6604,True
0.0,S1,4,36,True,0,13.7387,True
0.0,S1,4,37,True,1,11.5306,True
0.0,S1,4,38,True,0,8.4279,True
0.0,S1,4,39,True,0,10.7834,True
0.0,S1,4,40,True,0,12.089,True
0.0,S1,4,41,True,0,14.1101,True
0.0,S1,4,42,True,0,9.3821,True
0.0,S1,4,43,True,0,11.3881,True
0.0,S1,4,44,True,0,16.0368,True
0.0,S1,4,45,True,0,14.9193,True
0.0,S1,4,46,True,0,16.6261,True
0.0,S1,4,47,True,0,11.6724,True
0.0,S1,4,48,True,0,11.3349,True
0.0,S1,4,49,True,0,10.6873,True
0.0,S1,4,50,True,0,8.3087,True
0.0,S1,4,51,True,0,11.6248,True
0.0,S1,4,52,True,0,10.7316,True
0.0,S1,4,53,True,0,11.3631,True
0.0,S1,4,54,True,0,14.5166,True
0.0,S1,4,55,True,0,15.9558,True
0.0,S1,4,56,True,0,9.2616,True
0.0,S1,4,57,True,0,12.7991,True
0.0,S1,4,58,True,0,8.6113,True
0.0,S1,4,59,True,0,10.4493,True
0.0,S1,4,60,True,0,19.4879,True
0.0,S1,4,61,True,0,14.3982,True
0.0,S1,4,62,True,0,11.709,True
0.0,S1,4,63,True,1,12.4314,True
0.0,S1,4,64,True,0,15.1977,True
0.0,S1,4,65,True,0,7.8807,True
0.0,S1,4,66,True,0,13.7083,True
0.0,S1,4,67,True,1,13.6645,True
0.0,S1,4,68,True,0,9.391,True
0.0,S1,4,69,True,0,11.5802,True
0.0,S1,4,70,True,0,14.0698,True
0.0,S1,4,71,True,0,9.1747,True
0.0,S1,4,72,True,0,10.8882,True
0.0,S1,4,73,True,0,15.6319,True
0.0,S1,4,74,True,0,11.355,True
0.0,S1,4,75,True,0,9.8536,True
0.0,S1,4,76,True,1,12.0217,True
0.0,S1,4,77,True,0,13.2154,True
0.0,S1,4,78,True,0,8.7049,True
0.0,S1,4,79,True,0,8.8414,True
0.0,S1,4,80,True,0,12.1989,True
0.0,S1,4,81,True,0,12.9611,True
0.0,S1,4,82,True,0,11.8487,True
0.0,S1,4,83,True,0,16.2586,True
0.0,S1,4,84,True,1,13.1894,True
0.0,S1,4,85,True,0,11.1589,True
0.0,S1,4,86,True,0,13.3909,True
0.0,S1,4,87,True,0,13.4858,True
0.0,S1,4,88,True,0,14.9077,True
0.0,S1,4,89,True,0,10.8431,True
0.0,S1,4,90,True,1,14.4984,True
0.0,S1,4,91,True,0,10.4344,True
0.0,S1,4,92,True,0,10.4437,True
0.0,S1,4,93,True,1,8.3795,True
0.0,S1,4,94,True,0,13.1239,True
0.0,S1,4,95,True,0,14.6501,True
0.0,S1,4,96,True,0,14.3915,True
0.0,S1,4,97,True,0,15.7326,True
0.0,S1,4,98,True,0,18.9264,True
0.0,S1,4,99,True,0,16.3421,True
0.0,S1,5,0,True,0,13.1691,True
0.0,S1,5,1,True,0,13.5297,True
0.0,S1,5,2,True,0,11.8075,True
0.0,S1,5,3,True,0,8.762,True
0.0,S1,5,4,True,0,18.8866,True
0.0,S1,5,5,True,0,12.3062,True
0.0,S1,5,6,True,0,15.1947,True
0.0,S1,5,7,True,0,13.07,True
0.0,S1,5,8,True,3,11.4865,True
0.0,S1,5,9,True,0,11.9439,True
0.0,S1,5,10,True,0,10.5196,True
0.0,S1,5,11,True,0,14.002,True
0.0,S1,5,12,True,0,14.5477,True
0.0,S1,5,13,True,0,11.5881,True
0.0,S1,5,14,True,0,10.2436,True
0.0,S1,5,15,True,0,13.1867,True
0.0,S1,5,16,True,0,11.0967,True
0.0,S1,5,17,True,0,11.977,True
0.0,S1,5,18,True,0,6.931,True
0.0,S1,5,19,True,0,9.1041,True
0.0,S1,5,20,True,0,11.5306,True
0.0,S1,5,21,True,0,10.5405,True
0.0,S1,5,22,True,0,11.3822,True
0.0,S1,5,23,True,0,6.877,True
0.0,S1,5,24,True,0,9.1371,True
0.0,S1,5,25,True,0,8.349,True
0.0,S1,5,26,True,0,10.6598,True
0.0,S1,5,27,True,0,10.4937,True
0.0,S1,5,28,True,0,16.5047,True
0.0,S1,5,29,True,0,10.5752,True
0.0,S1,5,30,True,0,12.9779,True
0.0,S1,5,31,True,0,10.965,True
0.0,S1,5,32,True,0,10.775,True
0.0,S1,5,33,True,0,9.2555,True
0.0,S1,5,34,True,0,12.3885,True
0.0,S1,5,35,True,0,13.3412,True
0.0,S1,5,36,True,0,11.1561,True
0.0,S1,5,37,True,0,7.6411,True
0.0,S1,5,38,True,0,10.634,True
0.0,S1,5,39,True,0,12.8422,True
0.0,S1,5,40,True,0,13.2537,True
0.0,S1,5,41,True,0,9.0796,True
0.0,S1,5,42,True,0,9.3837,True
0.0,S1,5,43,True,0,15.0617,True
0.0,S1,5,44,True,0,12.1628,True
0.0,S1,5,45,True,0,15.8359,True
0.0,S1,5,46,True,0,12.0897,True
0.0,S1,5,47,True,0,11.2979,True
0.0,S1,5,48,True,0,11.72,True
0.0,S1,5,49,True,0,10.2318,True
0.0,S1,5,50,True,0,10.5702,True
0.0,S1,5,51,True,0,10.467,True
0.0,S1,5,52,True,0,11.375,True
0.0,S1,5,53,True,0,13.12,True
0.0,S1,5,54,True,0,14.7192,True
0.0,S1,5,55,True,0,10.1737,True
0.0,S1,5,56,True,0,13.0384,True
0.0,S1,5,57,True,0,9.1902,True
0.0,S1,5,58,True,0,10.8345,True
0.0,S1,5,59,True,0,18.4308,True
0.0,S1,5,60,True,0,13.7113,True
0.0,S1,5,61,True,0,11.4181,True
0.0,S1,5,62,True,0,10.6002,True
0.0,S1,5,63,True,0,13.8809,True
0.0,S1,5,64,True,0,8.3102,True
0.0,S1,5,65,True,0,11.7742,True
0.0,S1,5,66,True,0,11.9122,True
0.0,S1,5,67,True,0,11.0898,True
0.0,S1,5,68,True,0,10.3748,True
0.0,S1,5,69,True,0,12.2782,True
0.0,S1,5,70,True,0,7.3314,True
0.0,S1,5,71,True,0,9.3269,True
0.0,S1,5,72,True,0,13.5757,True
0.0,S1,5,73,True,0,11.0765,True
0.0,S1,5,74,True,0,11.4313,True
0.0,S1,5,75,True,0,11.5172,True
0.0,S1,5,76,True,0,11.4093,True
0.0,S1,5,77,True,0,8.3954,True
