scenario,seed,decoder,direct_feasible,violations,kept_pref,decode_ms,repair_success,repair_core,repair_expansions,repair_ms,end2end_ms
S1,74,utility,0,8,1.0,0.0471,1,9,0,1.5521,1.5992
S1,74,greedy_fc,1,0,0.6667,0.0247,1,0,0,0.0,0.0247
S1,74,fc_search,1,0,0.6667,0.0478,1,0,0,0.0,0.0478
S1,74,min_conflict,1,0,0.5,0.1408,1,0,0,0.0,0.1408
S1,75,utility,0,2,0.5833,0.0759,1,3,0,0.4966,0.5725
S1,75,greedy_fc,0,3,0.75,0.0246,1,9,2,0.8079,0.8325
S1,75,fc_search,1,0,0.5,0.1346,1,0,0,0.0,0.1346
S1,75,min_conflict,1,0,0.5,0.1212,1,0,0,0.0,0.1212
S1,76,utility,0,4,0.5833,0.0733,1,7,0,0.7856,0.8589
S1,76,greedy_fc,0,1,0.5833,0.0272,1,4,1,0.5376,0.5648
S1,76,fc_search,1,0,0.4167,0.0583,1,0,0,0.0,0.0583
S1,76,min_conflict,1,0,0.25,0.1403,1,0,0,0.0,0.1403
S1,77,utility,0,1,0.75,0.072,1,2,0,0.5672,0.6392
S1,77,greedy_fc,0,2,0.75,0.0329,1,3,1,0.6673,0.7002
S1,77,fc_search,1,0,0.6667,0.0515,1,0,0,0.0,0.0515
S1,77,min_conflict,1,0,0.6667,0.138,1,0,0,0.0,0.138
S1,78,utility,0,5,0.8333,0.0551,1,7,0,0.8998,0.9549
S1,78,greedy_fc,0,1,0.5,0.027,1,2,0,0.3671,0.3941
S1,78,fc_search,1,0,0.5,0.1023,1,0,0,0.0,0.1023
S1,78,min_conflict,0,1,0.5833,1.8525,1,2,0,0.3838,2.2363
S1,79,utility,0,1,0.75,0.0655,1,2,0,0.5849,0.6505
S1,79,greedy_fc,0,1,0.75,0.0244,1,2,0,0.4006,0.425
S1,79,fc_search,1,0,0.6667,0.0502,1,0,0,0.0,0.0502
S1,79,min_conflict,1,0,0.6667,0.1034,1,0,0,0.0,0.1034
S1,80,utility,0,4,0.8333,0.0572,1,6,0,0.4106,0.4678
S1,80,greedy_fc,0,3,0.75,0.0263,1,8,2,0.6395,0.6659
S1,80,fc_search,1,0,0.4167,0.058,1,0,0,0.0,0.058
S1,80,min_conflict,1,0,0.5,0.1975,1,0,0,0.0,0.1975
S1,81,utility,0,3,0.8333,0.0746,1,6,1,0.7453,0.8199
S1,81,greedy_fc,0,1,0.5833,0.0289,1,8,4,0.8858,0.9148
S1,81,fc_search,1,0,0.5833,0.1342,1,0,0,0.0,0.1342
S1,81,min_conflict,0,1,0.6667,1.8918,1,3,1,0.4667,2.3585
S1,82,utility,0,5,0.9167,0.0569,1,7,0,0.8797,0.9366
S1,82,greedy_fc,0,1,0.5833,0.0278,1,2,0,0.3458,0.3736
S1,82,fc_search,1,0,0.5,0.0979,1,0,0,0.0,0.0979
S1,82,min_conflict,1,0,0.6667,0.1699,1,0,0,0.0,0.1699
S1,83,utility,0,2,0.75,0.0536,1,3,0,0.4609,0.5146
S1,83,greedy_fc,0,3,0.8333,0.0263,1,5,0,0.38,0.4063
S1,83,fc_search,1,0,0.6667,0.0976,1,0,0,0.0,0.0976
S1,83,min_conflict,1,0,0.6667,0.1111,1,0,0,0.0,0.1111
S1,84,utility,0,7,0.75,0.0503,1,8,0,1.1079,1.1582
S1,84,greedy_fc,0,3,0.8333,0.0243,1,5,1,0.5203,0.5446
S1,84,fc_search,1,0,0.5,0.3906,1,0,0,0.0,0.3906
S1,84,min_conflict,1,0,0.5,0.1212,1,0,0,0.0,0.1212
S1,85,utility,0,1,0.6667,0.0713,1,2,0,0.3709,0.4422
S1,85,greedy_fc,0,1,0.75,0.0251,1,6,2,0.6223,0.6475
S1,85,fc_search,1,0,0.6667,0.1478,1,0,0,0.0,0.1478
S1,85,min_conflict,1,0,0.6667,0.1349,1,0,0,0.0,0.1349
S1,86,utility,1,0,0.5833,0.0796,1,0,0,0.0,0.0796
S1,86,greedy_fc,0,3,0.75,0.0222,1,8,2,0.7487,0.7709
S1,86,fc_search,1,0,0.5833,0.0543,1,0,0,0.0,0.0543
S1,86,min_conflict,1,0,0.5833,0.0952,1,0,0,0.0,0.0952
S1,87,utility,0,2,0.6667,0.064,1,3,0,0.5093,0.5733
S1,87,greedy_fc,0,4,0.75,0.0229,1,5,0,0.5648,0.5878
S1,87,fc_search,1,0,0.5833,0.0552,1,0,0,0.0,0.0552
S1,87,min_conflict,1,0,0.5833,0.1236,1,0,0,0.0,0.1236
S1,88,utility,0,7,0.9167,0.0534,1,9,0,1.4893,1.5427
S1,88,greedy_fc,0,1,0.5833,0.027,1,3,1,0.4352,0.4622
S1,88,fc_search,1,0,0.5,0.0538,1,0,0,0.0,0.0538
S1,88,min_conflict,1,0,0.5833,0.1301,1,0,0,0.0,0.1301
S1,89,utility,0,6,0.9167,0.2039,1,8,0,0.8215,1.0253
S1,89,greedy_fc,0,1,0.6667,0.0265,1,2,0,0.3501,0.3765
S1,89,fc_search,1,0,0.5833,0.0982,1,0,0,0.0,0.0982
S1,89,min_conflict,1,0,0.5833,0.1548,1,0,0,0.0,0.1548
S1,90,utility,0,2,0.5833,0.0677,1,3,0,0.4964,0.564
S1,90,greedy_fc,0,5,0.75,0.0259,1,7,0,0.5963,0.6222
S1,90,fc_search,1,0,0.4167,0.0993,1,0,0,0.0,0.0993
S1,90,min_conflict,1,0,0.4167,0.1274,1,0,0,0.0,0.1274
S1,91,utility,0,4,0.6667,0.0567,1,5,0,0.959,1.0157
S1,91,greedy_fc,0,1,0.5833,0.0268,1,2,0,0.3371,0.3639
S1,91,fc_search,1,0,0.5,0.1128,1,0,0,0.0,0.1128
S1,91,min_conflict,1,0,0.5,0.157,1,0,0,0.0,0.157
S2,42,utility,0,8,0.7778,0.1432,1,11,0,0.9099,1.0531
S2,42,greedy_fc,0,2,0.6667,0.0364,1,3,0,0.459,0.4954
S2,42,fc_search,1,0,0.5556,0.1014,1,0,0,0.0,0.1014
S2,42,min_conflict,1,0,0.5556,0.354,1,0,0,0.0,0.354
S2,43,utility,0,8,0.7778,0.1274,1,13,0,1.3982,1.5256
S2,43,greedy_fc,0,2,0.6111,0.0409,1,11,2,1.4789,1.5198
S2,43,fc_search,1,0,0.6111,2.5967,1,0,0,0.0,2.5967
S2,43,min_conflict,1,0,0.6111,0.248,1,0,0,0.0,0.248
S2,44,utility,0,5,0.7222,0.1116,1,8,0,1.1176,1.2292
S2,44,greedy_fc,0,4,0.7778,0.0406,1,7,2,0.911,0.9517
S2,44,fc_search,1,0,0.6111,0.1079,1,0,0,0.0,0.1079
S2,44,min_conflict,1,0,0.5556,0.2717,1,0,0,0.0,0.2717
S2,45,utility,0,1,0.8333,0.146,1,2,0,0.5012,0.6472
S2,45,greedy_fc,0,5,0.8333,0.0393,1,7,0,0.6241,0.6634
S2,45,fc_search,1,0,0.7778,14.466,1,0,0,0.0,14.466
S2,45,min_conflict,1,0,0.7778,0.212,1,0,0,0.0,0.212
S2,46,utility,0,7,0.8333,0.1301,1,9,0,1.3188,1.4489
S2,46,greedy_fc,0,4,0.8333,0.0469,1,7,0,0.5645,0.6115
S2,46,fc_search,1,0,0.6111,0.1125,1,0,0,0.0,0.1125
S2,46,min_conflict,1,0,0.5,0.3106,1,0,0,0.0,0.3106
S2,47,utility,0,5,0.6667,0.1251,1,7,0,0.9222,1.0473
S2,47,greedy_fc,0,5,0.8333,0.0377,1,7,1,0.6703,0.708
S2,47,fc_search,0,5,0.8333,50.1007,1,7,1,0.7219,50.8226
S2,47,min_conflict,1,0,0.5556,0.2322,1,0,0,0.0,0.2322
S2,48,utility,0,1,0.6111,0.3472,1,2,0,0.787,1.1343
S2,48,greedy_fc,0,9,0.8333,0.0432,1,11,1,1.1966,1.2397
S2,48,fc_search,1,0,0.5556,0.1364,1,0,0,0.0,0.1364
S2,48,min_conflict,1,0,0.5556,0.2306,1,0,0,0.0,0.2306
S2,49,utility,0,7,0.7222,0.1274,1,11,0,1.837,1.9644
S2,49,greedy_fc,0,3,0.7222,0.0414,1,5,0,0.524,0.5654
S2,49,fc_search,1,0,0.4444,9.4081,1,0,0,0.0,9.4081
S2,49,min_conflict,1,0,0.5556,0.2884,1,0,0,0.0,0.2884
S2,50,utility,0,3,0.6667,0.1431,1,6,0,0.6345,0.7777
S2,50,greedy_fc,0,3,0.7222,0.0348,1,4,0,0.5058,0.5406
S2,50,fc_search,1,0,0.5556,0.0842,1,0,0,0.0,0.0842
S2,50,min_conflict,1,0,0.6111,0.2836,1,0,0,0.0,0.2836
S2,51,utility,0,5,0.6667,0.1281,1,7,0,1.0536,1.1817
S2,51,greedy_fc,0,7,0.7778,0.0397,1,15,2,1.2133,1.253
S2,51,fc_search,1,0,0.4444,0.2569,1,0,0,0.0,0.2569
