Method,Feasible,Latency_ms,Stall,RepairAttempted,Repaired,RepairTimeout,CoreSize,Throughput,Energy,HOF,Fairness,Scenario,Load,Mobility,Cells,Seed,AblationConfig
Continuous only,True,13.962268829345703,False,False,False,False,0,12.087928281997403,4.467266742508921e-05,0.026000000020000004,0.48535712883787174,S1,0.6,3.0,10,4,
CP-SAT,True,5.004644393920898,False,False,False,False,0,13.105850290280868,4.21185949613171e-05,0.026000000020000004,0.5153888332564277,S1,0.6,3.0,10,4,
VeriXApp,True,14.255523681640625,False,False,False,False,0,12.087928281997403,4.467266742508921e-05,0.026000000020000004,0.48535712883787174,S1,0.6,3.0,10,4,
Uncoordinated,False,0.009298324584960938,False,False,False,False,0,11.18425694788322,5.257389943203043e-05,0.026000000020000004,0.523158738029971,S1,0.6,3.0,10,5,
Static priority,False,0.09059906005859375,False,False,False,False,0,10.609903147056158,5.6550940351088594e-05,0.03800000002000001,0.4794286123632583,S1,0.6,3.0,10,5,
Continuous only,True,8.243799209594727,False,False,False,False,0,10.568119180734382,5.109707704512046e-05,0.026000000020000004,0.5090239456996507,S1,0.6,3.0,10,5,
CP-SAT,True,3.6292076110839844,False,False,False,False,0,10.333769632693224,5.69008233103754e-05,0.03200000002,0.4932840933110303,S1,0.6,3.0,10,5,
VeriXApp,True,8.174419403076172,False,False,False,False,0,10.568119180734382,5.109707704512046e-05,0.026000000020000004,0.5090239456996507,S1,0.6,3.0,10,5,
Uncoordinated,False,0.007867813110351562,False,False,False,False,0,15.69013232103337,3.5181347658873316e-05,0.03200000002,0.5254666890365717,S1,0.6,3.0,10,6,
Static priority,False,0.09822845458984375,False,False,False,False,0,13.606995314038272,4.321306698719615e-05,0.026000000020000004,0.48488843935153075,S1,0.6,3.0,10,6,
Continuous only,True,8.528709411621094,False,False,False,False,0,11.84858925184106,4.7600603583448926e-05,0.03800000002000001,0.4069515797461378,S1,0.6,3.0,10,6,
CP-SAT,True,3.8912296295166016,False,False,False,False,0,14.399523189428454,3.833460266276428e-05,0.03800000002000001,0.4799475419283879,S1,0.6,3.0,10,6,
VeriXApp,True,8.573770523071289,False,False,False,False,0,11.84858925184106,4.7600603583448926e-05,0.03800000002000001,0.4069515797461378,S1,0.6,3.0,10,6,
Uncoordinated,False,0.008821487426757812,False,False,False,False,0,15.143699859714781,3.803561912450954e-05,0.03200000002,0.4356737066798382,S1,0.6,3.0,10,7,
Static priority,False,0.1399517059326172,False,False,False,False,0,17.10264081235314,3.367900936000237e-05,0.03200000002,0.5087748512249465,S1,0.6,3.0,10,7,
Continuous only,True,9.646415710449219,False,False,False,False,0,14.245311922903356,3.8749590250284675e-05,0.03800000002000001,0.4882745340540822,S1,0.6,3.0,10,7,
CP-SAT,True,4.616737365722656,False,False,False,False,0,17.981237443000115,3.003130355804381e-05,0.026000000020000004,0.502711680708384,S1,0.6,3.0,10,7,
VeriXApp,True,9.505748748779297,False,False,False,False,0,14.245311922903356,3.8749590250284675e-05,0.03800000002000001,0.4882745340540822,S1,0.6,3.0,10,7,
Uncoordinated,False,0.008344650268554688,False,False,False,False,0,12.019299034198882,4.792292781476602e-05,0.026000000020000004,0.36456185322264545,S1,0.6,3.0,10,8,
Static priority,False,0.1468658447265625,False,False,False,False,0,11.923321298788224,4.6295825313044295e-05,0.03200000002,0.36784270743351893,S1,0.6,3.0,10,8,
Continuous only,True,8.571386337280273,False,False,False,False,0,11.307741316460163,4.8816114956262643e-05,0.03800000002000001,0.34038937895923194,S1,0.6,3.0,10,8,
CP-SAT,True,3.9520263671875,False,False,False,False,0,11.02030111057889,5.3356073858594664e-05,0.03200000002,0.3167156743541009,S1,0.6,3.0,10,8,
VeriXApp,True,8.624553680419922,False,False,False,False,0,11.307741316460163,4.8816114956262643e-05,0.03800000002000001,0.34038937895923194,S1,0.6,3.0,10,8,
Uncoordinated,False,0.00762939453125,False,False,False,False,0,16.5680284801937,3.476575385469556e-05,0.03200000002,0.5338000521306736,S1,0.6,3.0,10,9,
Static priority,False,0.13113021850585938,False,False,False,False,0,15.462709581436465,3.7250909807651605e-05,0.026000000020000004,0.5037530365235938,S1,0.6,3.0,10,9,
Continuous only,True,12.518644332885742,False,False,False,False,0,13.958088847882046,3.954696133659865e-05,0.03200000002,0.4963044764504176,S1,0.6,3.0,10,9,
CP-SAT,True,2.7740001678466797,False,False,False,False,0,15.59425543881795,3.6936678526259986e-05,0.03200000002,0.5051360634318007,S1,0.6,3.0,10,9,
VeriXApp,True,12.481927871704102,False,False,False,False,0,13.958088847882046,3.954696133659865e-05,0.03200000002,0.4963044764504176,S1,0.6,3.0,10,9,
Uncoordinated,False,0.008106231689453125,False,False,False,False,0,14.226111092137938,4.133244821383113e-05,0.03200000002,0.4856248933055201,S1,0.6,3.0,10,10,
Static priority,False,0.087738037109375,False,False,False,False,0,13.991954483690243,4.03088789816625e-05,0.03200000002,0.4990841376557429,S1,0.6,3.0,10,10,
Continuous only,True,10.084152221679688,False,False,False,False,0,16.716340201821346,3.15858611170447e-05,0.026000000020000004,0.5848180375766524,S1,0.6,3.0,10,10,
CP-SAT,True,3.907918930053711,False,False,False,False,0,16.292823940652532,3.387994628866604e-05,0.026000000020000004,0.557029792955944,S1,0.6,3.0,10,10,
VeriXApp,True,9.938716888427734,False,False,False,False,0,16.716340201821346,3.15858611170447e-05,0.026000000020000004,0.5848180375766524,S1,0.6,3.0,10,10,
Uncoordinated,False,0.008106231689453125,False,False,False,False,0,10.37596405552567,5.3199875890668206e-05,0.03200000002,0.5448198086760428,S1,0.6,3.0,10,11,
Static priority,True,0.1461505889892578,False,False,False,False,0,10.501880373948762,5.256201559573137e-05,0.03200000002,0.5545011236379552,S1,0.6,3.0,10,11,
Continuous only,True,13.061285018920898,False,False,False,False,0,9.32349945156498,6.17793783323832e-05,0.03200000002,0.5703858453336765,S1,0.6,3.0,10,11,
CP-SAT,True,4.16111946105957,False,False,False,False,0,10.022386133043694,5.507670455641918e-05,0.03800000002000001,0.5221023703808596,S1,0.6,3.0,10,11,
VeriXApp,True,13.109207153320312,False,False,False,False,0,9.32349945156498,6.17793783323832e-05,0.03200000002,0.5703858453336765,S1,0.6,3.0,10,11,
Uncoordinated,False,0.007867813110351562,False,False,False,False,0,12.573753180411982,4.485534206911484e-05,0.03800000002000001,0.31582906081500484,S1,0.6,3.0,10,12,
Static priority,False,0.15783309936523438,False,False,False,False,0,15.252165434013039,3.5404808735930365e-05,0.03200000002,0.39813612121951386,S1,0.6,3.0,10,12,
Continuous only,True,10.489463806152344,False,False,False,False,0,16.51355056796676,3.342709356949426e-05,0.026000000020000004,0.4556763506862731,S1,0.6,3.0,10,12,
CP-SAT,True,4.306316375732422,False,False,False,False,0,14.628128924541173,3.773551647291857e-05,0.03200000002,0.38584482260887704,S1,0.6,3.0,10,12,
VeriXApp,True,10.70404052734375,False,False,False,False,0,16.51355056796676,3.342709356949426e-05,0.026000000020000004,0.4556763506862731,S1,0.6,3.0,10,12,
Uncoordinated,False,0.008106231689453125,False,False,False,False,0,14.530457594216763,3.964087133974724e-05,0.020000000020000002,0.5093284378079668,S1,0.6,3.0,10,13,
Static priority,False,0.0762939453125,False,False,False,False,0,13.64328918024221,4.133900502649811e-05,0.03200000002,0.45532686179304804,S1,0.6,3.0,10,13,
Continuous only,True,9.89079475402832,False,False,False,False,0,12.79109058469617,4.4093190980509096e-05,0.03800000002000001,0.4437295926348572,S1,0.6,3.0,10,13,
CP-SAT,True,4.451751708984375,False,False,False,False,0,12.590981358214515,4.479396672540059e-05,0.03200000002,0.3875725911911399,S1,0.6,3.0,10,13,
VeriXApp,True,9.784698486328125,False,False,False,False,0,12.79109058469617,4.4093190980509096e-05,0.03800000002000001,0.4437295926348572,S1,0.6,3.0,10,13,
Uncoordinated,False,0.012159347534179688,False,False,False,False,0,10.847913487001383,5.088536156390252e-05,0.03200000002,0.4434356630306811,S1,0.6,3.0,10,14,
Static priority,False,0.11444091796875,False,False,False,False,0,12.231429653959308,4.4148559512436245e-05,0.026000000020000004,0.5110859733785675,S1,0.6,3.0,10,14,
Continuous only,True,20.63727378845215,False,False,False,False,0,10.228382541605356,5.279427102022002e-05,0.03800000002000001,0.4628963748336712,S1,0.6,3.0,10,14,
CP-SAT,True,5.213260650634766,False,False,False,False,0,10.384063924135196,5.431399537989371e-05,0.03200000002,0.43209317129389196,S1,0.6,3.0,10,14,
VeriXApp,True,21.0878849029541,False,False,False,False,0,10.228382541605356,5.279427102022002e-05,0.03800000002000001,0.4628963748336712,S1,0.6,3.0,10,14,
Uncoordinated,False,0.008344650268554688,False,False,False,False,0,12.400751177733053,4.548111577407711e-05,0.03200000002,0.47120866545719553,S1,0.6,3.0,10,15,
Static priority,False,0.11730194091796875,False,False,False,False,0,11.826078105860633,4.464709223747979e-05,0.03200000002,0.4439337162182081,S1,0.6,3.0,10,15,
Continuous only,True,8.527994155883789,False,False,False,False,0,12.539204009271836,4.3064934552520955e-05,0.03200000002,0.5006018212179958,S1,0.6,3.0,10,15,
CP-SAT,True,5.168914794921875,False,False,False,False,0,12.819225179632447,4.399641882382247e-05,0.03200000002,0.49254754837755094,S1,0.6,3.0,10,15,
