Method,Feasible,Latency_ms,Stall,RepairAttempted,Repaired,RepairTimeout,CoreSize,Throughput,Energy,HOF,Fairness,Scenario,Size,Load,Mobility,Cells,Seed,AblationConfig
Continuous only,True,55.860280990600586,False,False,False,False,0,14.165889800754718,3.953157958140863e-05,0.04000000002,0.6038032129984426,Scale,16,0.6,3.0,10,3,
CP-SAT,True,6.14166259765625,False,False,False,False,0,15.63815546622635,3.427514204968717e-05,0.03200000002,0.6223388908188037,Scale,16,0.6,3.0,10,3,
VeriXApp,True,56.31875991821289,False,False,False,False,0,14.165889800754718,3.953157958140863e-05,0.04000000002,0.6038032129984426,Scale,16,0.6,3.0,10,3,
Uncoordinated,False,0.015497207641601562,False,False,False,False,0,12.588337614985734,4.448561971624834e-05,0.04000000002,0.4771778657392182,Scale,16,0.6,3.0,10,4,
Static priority,False,0.34689903259277344,False,False,False,False,0,12.131967696981233,4.549962658879753e-05,0.036000000020000006,0.541037598081862,Scale,16,0.6,3.0,10,4,
Continuous only,True,43.62773895263672,False,False,False,False,0,10.33522076225454,5.49577036684503e-05,0.036000000020000006,0.48002915217227177,Scale,16,0.6,3.0,10,4,
CP-SAT,True,7.594823837280273,False,False,False,False,0,11.783500081220534,4.82029953820959e-05,0.04000000002,0.4810431364675516,Scale,16,0.6,3.0,10,4,
VeriXApp,True,43.20478439331055,False,False,False,False,0,10.33522076225454,5.49577036684503e-05,0.036000000020000006,0.48002915217227177,Scale,16,0.6,3.0,10,4,
Uncoordinated,False,0.013113021850585938,False,False,False,False,0,9.393798038003023,6.046542598660637e-05,0.04000000002,0.46618058166488535,Scale,16,0.6,3.0,10,5,
Static priority,False,0.331878662109375,False,False,False,False,0,10.346287191746734,5.335247222214478e-05,0.028000000020000002,0.5272313123493085,Scale,16,0.6,3.0,10,5,
Continuous only,True,81.76064491271973,False,False,False,False,0,7.553087414867801,7.414186666205842e-05,0.04400000002,0.3844903512270345,Scale,16,0.6,3.0,10,5,
CP-SAT,True,6.936073303222656,False,False,False,False,0,9.824337636230078,5.700129827937087e-05,0.04000000002,0.47239214022615383,Scale,16,0.6,3.0,10,5,
VeriXApp,True,82.95416831970215,False,False,False,False,0,7.553087414867801,7.414186666205842e-05,0.04400000002,0.3844903512270345,Scale,16,0.6,3.0,10,5,
Uncoordinated,False,0.012636184692382812,False,False,False,False,0,12.943112480508391,4.326625460787186e-05,0.03200000002,0.4676047342025441,Scale,16,0.6,3.0,10,6,
Static priority,False,0.25153160095214844,False,False,False,False,0,12.093278186728764,4.56451916078279e-05,0.036000000020000006,0.4364504545490953,Scale,16,0.6,3.0,10,6,
Continuous only,True,43.94674301147461,False,False,False,False,0,11.612960847292099,4.408867012751427e-05,0.04400000002,0.41855185741458906,Scale,16,0.6,3.0,10,6,
CP-SAT,True,6.105899810791016,False,False,False,False,0,11.684760826658687,4.8610323174447236e-05,0.04000000002,0.4187528408210708,Scale,16,0.6,3.0,10,6,
VeriXApp,True,44.65794563293457,False,False,False,False,0,11.612960847292099,4.408867012751427e-05,0.04400000002,0.41855185741458906,Scale,16,0.6,3.0,10,6,
Uncoordinated,False,0.015974044799804688,False,False,False,False,0,12.349377055070592,4.728983473382672e-05,0.04400000002,0.4104831651987087,Scale,16,0.6,3.0,10,7,
Static priority,False,0.186920166015625,False,False,False,False,0,13.705427527305185,3.910859394441601e-05,0.036000000020000006,0.4528525689879811,Scale,16,0.6,3.0,10,7,
