Method,Feasible,Latency_ms,Stall,RepairAttempted,Repaired,RepairTimeout,CoreSize,Throughput,Energy,HOF,Fairness,Scenario,Load,Mobility,Cells,Seed,AblationConfig
VeriXApp,True,59.70168113708496,True,True,True,False,2,11.231919734878693,4.6296627137143274e-05,0.036000000020000006,0.4616016175268354,AblationCfg,0.6,3.0,10,9,Full VeriXApp
VeriXApp,True,267.75169372558594,False,False,False,False,0,11.442319331008061,4.684364983133002e-05,0.036000000020000006,0.4498466475197581,AblationCfg,0.6,3.0,10,9,No polarization
VeriXApp,False,55.33003807067871,True,False,False,False,0,0.0,0.0,0.0,0.0,AblationCfg,0.6,3.0,10,9,No exact repair
VeriXApp,True,60.21857261657715,True,True,True,False,2,11.231919734878693,4.6296627137143274e-05,0.036000000020000006,0.4616016175268354,AblationCfg,0.6,3.0,10,9,Repair radius h=0
VeriXApp,True,57.573556900024414,True,True,True,False,2,11.231919734878693,4.6296627137143274e-05,0.036000000020000006,0.4616016175268354,AblationCfg,0.6,3.0,10,9,Repair radius h=1
VeriXApp,True,58.667659759521484,True,True,True,False,2,11.231919734878693,4.6296627137143274e-05,0.036000000020000006,0.4616016175268354,AblationCfg,0.6,3.0,10,9,Repair radius h=2
VeriXApp,True,56.15735054016113,True,True,True,False,5,11.758354633644775,4.422387453020831e-05,0.04000000002,0.4868051256386712,AblationCfg,0.6,3.0,10,10,Full VeriXApp
VeriXApp,True,512.0465755462646,False,False,False,False,0,12.052070419588965,4.248232728277253e-05,0.036000000020000006,0.45261325075572606,AblationCfg,0.6,3.0,10,10,No polarization
VeriXApp,False,50.7359504699707,True,False,False,False,0,0.0,0.0,0.0,0.0,AblationCfg,0.6,3.0,10,10,No exact repair
VeriXApp,True,57.76166915893555,True,True,True,False,18,13.675322889643814,3.919468697926741e-05,0.03200000002,0.5483741361085971,AblationCfg,0.6,3.0,10,10,Repair radius h=0
VeriXApp,True,54.03852462768555,True,True,True,False,5,11.758354633644775,4.422387453020831e-05,0.04000000002,0.4868051256386712,AblationCfg,0.6,3.0,10,10,Repair radius h=1
VeriXApp,True,54.31652069091797,True,True,True,False,5,11.758354633644775,4.422387453020831e-05,0.04000000002,0.4868051256386712,AblationCfg,0.6,3.0,10,10,Repair radius h=2
VeriXApp,True,44.97981071472168,False,False,False,False,0,9.78485184188066,5.396096011797332e-05,0.04000000002,0.6513202674093793,AblationCfg,0.6,3.0,10,11,Full VeriXApp
VeriXApp,True,447.7815628051758,False,False,False,False,0,8.74715564040537,6.036247915391281e-05,0.04000000002,0.6397848729672059,AblationCfg,0.6,3.0,10,11,No polarization
VeriXApp,True,44.809818267822266,False,False,False,False,0,9.78485184188066,5.396096011797332e-05,0.04000000002,0.6513202674093793,AblationCfg,0.6,3.0,10,11,No exact repair
VeriXApp,True,45.02367973327637,False,False,False,False,0,9.78485184188066,5.396096011797332e-05,0.04000000002,0.6513202674093793,AblationCfg,0.6,3.0,10,11,Repair radius h=0
VeriXApp,True,45.46642303466797,False,False,False,False,0,9.78485184188066,5.396096011797332e-05,0.04000000002,0.6513202674093793,AblationCfg,0.6,3.0,10,11,Repair radius h=1
VeriXApp,True,45.49288749694824,False,False,False,False,0,9.78485184188066,5.396096011797332e-05,0.04000000002,0.6513202674093793,AblationCfg,0.6,3.0,10,11,Repair radius h=2
VeriXApp,True,83.65535736083984,False,True,True,False,2,12.999259902275117,4.369479526296641e-05,0.04000000002,0.36354952525925716,AblationCfg,0.6,3.0,10,12,Full VeriXApp
VeriXApp,True,471.1415767669678,False,False,False,False,0,13.057992085111978,4.349826499340608e-05,0.04000000002,0.3663371659750549,AblationCfg,0.6,3.0,10,12,No polarization
VeriXApp,False,79.96606826782227,False,False,False,False,0,0.0,0.0,0.0,0.0,AblationCfg,0.6,3.0,10,12,No exact repair
VeriXApp,True,84.75852012634277,False,True,True,False,2,12.999259902275117,4.369479526296641e-05,0.04000000002,0.36354952525925716,AblationCfg,0.6,3.0,10,12,Repair radius h=0
VeriXApp,True,84.8076343536377,False,True,True,False,2,12.999259902275117,4.369479526296641e-05,0.04000000002,0.36354952525925716,AblationCfg,0.6,3.0,10,12,Repair radius h=1
VeriXApp,True,84.24043655395508,False,True,True,False,2,12.999259902275117,4.369479526296641e-05,0.04000000002,0.36354952525925716,AblationCfg,0.6,3.0,10,12,Repair radius h=2
VeriXApp,True,67.12484359741211,True,True,True,False,7,9.220177145390199,5.466272415947933e-05,0.04000000002,0.3075767357446898,AblationCfg,0.6,3.0,10,13,Full VeriXApp
VeriXApp,True,78.36389541625977,True,True,True,False,7,9.220177145390199,5.466272415947933e-05,0.04000000002,0.3075767357446898,AblationCfg,0.6,3.0,10,13,No polarization
VeriXApp,False,63.4160041809082,True,False,False,False,0,0.0,0.0,0.0,0.0,AblationCfg,0.6,3.0,10,13,No exact repair
VeriXApp,True,67.63076782226562,True,True,True,False,7,9.220177145390199,5.466272415947933e-05,0.04000000002,0.3075767357446898,AblationCfg,0.6,3.0,10,13,Repair radius h=0
VeriXApp,True,67.4276351928711,True,True,True,False,7,9.220177145390199,5.466272415947933e-05,0.04000000002,0.3075767357446898,AblationCfg,0.6,3.0,10,13,Repair radius h=1
VeriXApp,True,68.00508499145508,True,True,True,False,7,9.220177145390199,5.466272415947933e-05,0.04000000002,0.3075767357446898,AblationCfg,0.6,3.0,10,13,Repair radius h=2
VeriXApp,True,62.18099594116211,False,False,False,False,0,9.578412935971222,5.679437748575621e-05,0.036000000020000006,0.32856816137628264,AblationCfg,0.6,3.0,10,14,Full VeriXApp
VeriXApp,True,215.72303771972656,False,False,False,False,0,10.491110294505404,5.261597528805922e-05,0.03200000002,0.36779200067738105,AblationCfg,0.6,3.0,10,14,No polarization
VeriXApp,True,63.096046447753906,False,False,False,False,0,9.578412935971222,5.679437748575621e-05,0.036000000020000006,0.32856816137628264,AblationCfg,0.6,3.0,10,14,No exact repair
VeriXApp,True,62.82186508178711,False,False,False,False,0,9.578412935971222,5.679437748575621e-05,0.036000000020000006,0.32856816137628264,AblationCfg,0.6,3.0,10,14,Repair radius h=0
VeriXApp,True,62.13665008544922,False,False,False,False,0,9.578412935971222,5.679437748575621e-05,0.036000000020000006,0.32856816137628264,AblationCfg,0.6,3.0,10,14,Repair radius h=1
VeriXApp,True,62.254905700683594,False,False,False,False,0,9.578412935971222,5.679437748575621e-05,0.036000000020000006,0.32856816137628264,AblationCfg,0.6,3.0,10,14,Repair radius h=2
VeriXApp,True,57.399749755859375,False,False,False,False,0,10.660717845089266,5.2529295694469335e-05,0.04400000002,0.44373627245490244,AblationCfg,0.6,3.0,10,15,Full VeriXApp
VeriXApp,True,523.3650207519531,False,False,False,False,0,10.154005262275309,5.515065095352484e-05,0.04000000002,0.4089169137829836,AblationCfg,0.6,3.0,10,15,No polarization
